activity	time	p	p_peak	p_smooth
Vehicle touring/racing	1490	2.62E-05	0.065392844	0.065392844
Softball	1490	0	0	0
Playing soccer	1490	0	0	0
Doing aerobics	1490	0	0	0
Hunting	1490	3.36E-05	0.030898503	0.030898503
Participating in martial arts	1490	0	0	0
Bowling	1490	1.02E-04	0.082718703	0.078024236
Rollerblading	1490	0	0	0
Golfing	1490	1.68E-05	0.007148072	0.007148072
Playing volleyball	1490	0	0	0
Boating	1490	2.02E-05	0.029966049	0.029966049
Playing baseball	1490	0	0	0
Running	1495	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1495	0	0	0
Weightlifting/strength training	1495	1.62E-05	0.010115133	0.012781839
Hiking	1495	0	0	0
Biking	1495	2.71E-06	0.003269747	0.003269747
Walking	1495	4.51E-05	0.009764165	0.011110017
Using cardiovascular equipment	1495	2.78E-05	0.02082429	0.02082429
Participating in water sports	1495	1.88E-05	0.005859399	0.005859399
Playing basketball	1495	1.90E-05	0.009114714	0.009114714
"Working out, unspecified"	1495	8.01E-05	0.023040903	0.022105518
"Skiing, ice skating, snowboarding"	1495	0	0	0
Doing yoga	1495	0	0	0
Playing billiards	1495	2.60E-04	0.316679857	0.328480195
Fishing	1495	1.11E-04	0.066402671	0.066054953
Dancing	1495	5.05E-04	0.677962462	0.678801479
Playing football	1495	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1495	2.62E-05	0.065392844	0.065392844
Softball	1495	0	0	0
Playing soccer	1495	0	0	0
Doing aerobics	1495	0	0	0
Hunting	1495	3.36E-05	0.030898503	0.030898503
Participating in martial arts	1495	0	0	0
Bowling	1495	1.02E-04	0.082718703	0.082718703
Rollerblading	1495	0	0	0.00405659
Golfing	1495	1.68E-05	0.007148072	0.007148072
Playing volleyball	1495	0	0	0.008191575
Boating	1495	2.02E-05	0.029966049	0.029966049
Playing baseball	1495	0	0	0
Running	1500	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1500	0	0	0
Weightlifting/strength training	1500	2.72E-05	0.016969192	0.012092304
Hiking	1500	0	0	0
Biking	1500	2.71E-06	0.003269747	0.003269747
